iter	MAE
0	0.4771419226
1	0.4061703551
2	0.3341933095
3	0.2815671131
4	0.2443314874
5	0.2196292325
6	0.1993446608
7	0.1818800813
8	0.1657002434
9	0.1555535205
10	0.1484201742
11	0.1434675715
12	0.1400901597
13	0.1353279178
14	0.1324377365
15	0.1304488179
16	0.1284568211
17	0.1274736639
18	0.1263393484
19	0.125453143
20	0.1245789555
21	0.1238069497
22	0.1234493624
23	0.1216236956
24	0.1212527027
25	0.1206806645
26	0.1193724901
27	0.1185616342
28	0.1180420386
29	0.1171735613
30	0.116568093
31	0.116210804
32	0.1147117891
33	0.1144261631
34	0.1138544166
35	0.1132284139
36	0.1127895537
37	0.112474337
38	0.1108417802
39	0.1101261991
40	0.1093093429
41	0.1087276597
42	0.1078004026
43	0.1064084296
44	0.1056251746
45	0.1053297748
46	0.105127654
47	0.1049937196
48	0.1049052334
49	0.104842847
50	0.1047255435
51	0.10421208
52	0.1041354018
53	0.1040745283
54	0.1040294749
55	0.1036257532
56	0.1035916581
57	0.1029139016
58	0.1026100771
59	0.1023776649
60	0.102186435
61	0.1020334511
62	0.1019110639
63	0.1018131542
64	0.1017348265
65	0.1016721642
66	0.1016220345
67	0.1015819307
68	0.1015498476
69	0.1015241834
70	0.1015036555
71	0.1014872335
72	0.1005389651
73	0.09797294177
74	0.09723139635
75	0.09714917615
76	0.09655094284
77	0.09650179234
78	0.09638002549
79	0.09461505755
80	0.09333318405
81	0.09230768529
82	0.09148728632
83	0.09083096715
84	0.0903059118
85	0.08988586751
86	0.0895498321
87	0.08928100376
88	0.08906594109
89	0.08889389096
90	0.08875625085
91	0.08864613876
92	0.08855804908
93	0.08848757735
94	0.08843119996
95	0.08838609805
96	0.08835001652
97	0.0883211513
98	0.08829805912
99	0.08827958538
100	0.08826480639
101	0.08825298319
102	0.08824352464
103	0.08823595779
104	0.08822990432
105	0.08822506154
106	0.08822118731
107	0.08821808793
108	0.08821560843
109	0.08821362483
110	0.08821203794
111	0.08821076844
112	0.08820975283
113	0.08820894035
114	0.08820829036
115	0.08820777037
116	0.08820735438
117	0.08820702159
118	0.08820675535
119	0.08820654236
120	0.08820637197
121	0.08820623566
122	0.0882061285
123	0.08804577658
124	0.08784328948
125	0.08768129979
126	0.08755170804
127	0.08744803465
128	0.08736509594
129	0.08729874496
130	0.08724566419
131	0.08720319957
132	0.08716922787
133	0.08714205051
134	0.08712030863
135	0.08710291512
136	0.08708900031
137	0.08707786847
138	0.08706896299
139	0.08706183861
140	0.08705613911
141	0.0870515795
142	0.08704793182
143	0.08704501367
144	0.08704267916
145	0.08704081154
146	0.08703931745
147	0.08703812218
148	0.08703716596
149	0.08703640099
150	0.08703578901
151	0.08703530043
152	0.08703490324
153	0.08703458548
154	0.08703433128
155	0.08703412792
156	0.08703396522
157	0.08703383507
158	0.08703373095
159	0.08703364765
160	0.08703358101
161	0.08703352925
162	0.08594097006
163	0.08593821101
164	0.0857920575
165	0.08578254602
166	0.08578197613
167	0.08578152021
168	0.08578115548
169	0.0857808637
170	0.08578063027
171	0.08578044353
172	0.08578029414
173	0.08578017462
174	0.08578007901
175	0.08578000252
176	0.08577994133
177	0.08577989273
178	0.08577986302
179	0.08380294895
180	0.08380291665
181	0.08380289595
182	0.0826695446
183	0.08193296088
184	0.08191339373
185	0.08191115362
186	0.08190936153
187	0.08190792786
188	0.08190678093
189	0.08190586338
190	0.08190513036
191	0.08190457419
192	0.08190375656
193	0.08190278893
194	0.08190201483
195	0.08190139555
196	0.08190090013
197	0.08190050379
198	0.08190018672
199	0.08189993306
200	0.08189973014
201	0.0818995678
202	0.08189943792
203	0.08189933403
204	0.08189925091
205	0.08189918673
206	0.08189916257
207	0.08181512195
208	0.08174789356
209	0.08169411376
210	0.08165108991
211	0.08161667083
212	0.08158913557
213	0.08156710735
214	0.08154948977
215	0.08127753651
216	0.08105997389
217	0.0808859238
218	0.08074668574
219	0.08073259677
220	0.08062120228
221	0.08060993401
222	0.08052081601
223	0.08044952515
224	0.08044050993
225	0.08038347307
226	0.08037626414
227	0.08033063156
228	0.08029412952
229	0.08028836216
230	0.08025915632
231	0.08025454579
232	0.0802311778
233	0.0802124876
234	0.08020879909
235	0.08019384271
236	0.0801908953
237	0.0801789268
238	0.08016935624
239	0.08016699827
240	0.0801593376
241	0.08015745462
242	0.08015132266
243	0.08014642136
244	0.08014491495
245	0.08014098968
246	0.08013978797
247	0.08013664432
248	0.08013413367
249	0.08013317228
250	0.08013115953
251	0.08013039383
252	0.0801287802
253	0.08012749356
254	0.08012688098
255	0.08012584745
256	0.08012536078
257	0.08012453053
258	0.08012387059
259	0.08012348124
260	0.08012294906
261	0.08012264099
262	0.08012221182
263	0.08012187275
264	0.08012162628
265	0.08012135079
266	0.08012115702
267	0.0801209332
268	0.08012075842
269	0.08012060338
270	0.08012045933
271	0.08012033871
272	0.08012022003
273	0.08012012936
274	0.08012003284
275	0.08011995608
276	0.08011988228
277	0.08011981743
278	0.08011976983
279	0.08011971077
280	0.08011966846
281	0.08011962462
282	0.08011958733
283	0.08011956178
284	0.08011952669
285	0.08011950202
286	0.08011947735
287	0.08011945418
288	0.08011943991
289	0.08011942016
290	0.08011940548
291	0.08011792241
292	0.08011791319
293	0.08011672302
294	0.08011577279
295	0.08011576286
296	0.08011500255
297	0.0801143943
298	0.0801139077
299	0.08011351843
300	0.08011320704
301	0.08011320505
302	0.08011295246
303	0.08011275039
304	0.08011258882
305	0.08011258202
306	0.08011245262
307	0.08011234911
308	0.0801122663
309	0.08011220036
310	0.080112196
311	0.08011218047
312	0.08011212649
313	0.08011208388
314	0.08011208003
315	0.08011204459
316	0.08011202585
317	0.08011202565
318	0.07958960336
319	0.07888579719
320	0.07887850221
321	0.07882503267
322	0.07881617231
323	0.07880908402
324	0.07880341339
325	0.07879896439
326	0.07879556173
327	0.0787926264
328	0.07829896698
329	0.07791726401
330	0.07791093796
331	0.07790981533
332	0.0779089252
333	0.07790247201
334	0.07788661753
335	0.07788585878
336	0.07788398334
337	0.07788257053
338	0.07788180186
339	0.07788106993
340	0.07787121423
341	0.07787053309
342	0.0778703676
